------------ Options -------------
basenet: vgg16_reducedfc.pth
batch_size: 32
cuda: True
debug: False
display_id: 1
gamma: 0.1
iterations: 130000
jaccard_threshold: 0.5
lr: 0.0001
momentum: 0.9
no_pretrain: False
num_workers: 2
phase: train
port_id: 8097
resume: None
save_folder: result/renew_ssd512_default/train
schedule: [80000, 100000, 120000]
send_images_to_visdom: False
ssd_dim: 512
start_iter: 0
version: v2
visdom: False
voc_root: /home/hongyang/data/VOCdevkit/
weight_decay: 0.0005
-------------- End ----------------
================ Training Loss (Tue Sep 12 22:55:14 2017) ================
iter 4550 || Loss: 6.3690 || time: 0.5297 sec/iter
iter 4600 || Loss: 6.5689 || time: 0.5338 sec/iter
iter 4650 || Loss: 6.3814 || time: 0.5293 sec/iter
iter 4700 || Loss: 5.7595 || time: 0.5343 sec/iter
iter 4750 || Loss: 6.6057 || time: 0.5319 sec/iter
iter 4800 || Loss: 6.0094 || time: 0.5341 sec/iter
iter 4850 || Loss: 5.8972 || time: 0.5310 sec/iter
iter 4900 || Loss: 5.9223 || time: 0.5334 sec/iter
iter 4950 || Loss: 6.2747 || time: 0.5295 sec/iter
iter 5000 || Loss: 6.1152 || time: 0.5308 sec/iter
iter 5050 || Loss: 5.7713 || time: 0.5310 sec/iter
iter 5100 || Loss: 5.9176 || time: 0.5362 sec/iter
iter 5150 || Loss: 6.1355 || time: 0.5300 sec/iter
iter 5200 || Loss: 5.8774 || time: 0.5300 sec/iter
iter 5250 || Loss: 5.9609 || time: 0.5311 sec/iter
iter 5300 || Loss: 5.6409 || time: 0.5295 sec/iter
iter 5350 || Loss: 6.7087 || time: 0.5307 sec/iter
iter 5400 || Loss: 6.0421 || time: 0.5327 sec/iter
iter 5450 || Loss: 5.8043 || time: 0.5296 sec/iter
iter 5500 || Loss: 5.6021 || time: 0.5306 sec/iter
iter 5550 || Loss: 5.4772 || time: 0.5290 sec/iter
iter 5600 || Loss: 5.6110 || time: 0.5297 sec/iter
iter 5650 || Loss: 5.8383 || time: 0.5317 sec/iter
iter 5700 || Loss: 5.5079 || time: 0.5313 sec/iter
iter 5750 || Loss: 5.7019 || time: 0.5303 sec/iter
iter 5800 || Loss: 5.8468 || time: 0.5296 sec/iter
iter 5850 || Loss: 5.2820 || time: 0.5296 sec/iter
iter 5900 || Loss: 6.0573 || time: 0.5311 sec/iter
